iter	Passed	Remaining
0	3	338
1	6	307
2	9	302
3	12	301
4	15	296
5	19	300
6	22	297
7	27	311
8	30	311
9	35	318
10	39	320
11	43	315
12	47	315
13	50	310
14	54	309
15	57	302
16	61	299
17	64	294
18	68	292
19	71	286
20	75	284
21	78	278
22	82	275
23	85	270
24	88	265
25	92	263
26	95	258
27	98	253
28	101	249
29	105	246
30	109	242
31	112	239
32	116	236
33	119	232
34	123	230
35	127	225
36	130	222
37	134	219
38	137	215
39	140	210
40	144	207
41	145	201
42	150	199
43	153	195
44	156	191
45	160	188
46	163	184
47	167	181
48	170	177
49	174	174
50	177	170
51	179	166
52	182	162
53	185	157
54	187	153
55	190	149
56	193	145
57	195	141
58	197	137
59	199	132
60	201	128
61	203	124
62	205	120
63	207	116
64	210	113
65	213	110
66	216	106
67	218	103
68	221	99
69	223	95
70	226	92
71	229	89
72	232	85
73	236	82
74	238	79
75	243	76
76	246	73
77	249	70
78	252	67
79	255	63
80	259	60
81	262	57
82	266	54
83	269	51
84	272	48
85	275	44
86	279	41
87	282	38
88	285	35
89	288	32
90	292	28
91	295	25
92	299	22
93	303	19
94	306	16
95	309	12
96	314	9
97	317	6
98	320	3
99	323	0
